sample_pair,feature,type,assigned_value,u_char,u_homo,u_lts,u_c,u_k,platform
M/P,A0PJX2,informative,1.027,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q9NNZ3,informative,1.023,0.017,NA,NA,0.017,0.035,SomaScan
M/P,P17023,informative,0.983,0.017,NA,NA,0.017,0.035,SomaScan
M/P,P02792,certified,1.533,0.017,NA,NA,0.017,0.035,SomaScan
X/P,O43314,informative,1.056,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q99567,informative,1.060,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q86WD7,certified,0.893,0.017,NA,NA,0.017,0.035,Olink
Y/P,P00450,informative,0.942,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q13046,certified,1.398,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q8N4N3,informative,0.944,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q13185,certified,1.528,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q13011,informative,1.044,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q9GZT4,informative,1.060,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q9H5Q4,informative,0.993,0.017,NA,NA,0.017,0.035,SomaScan
M/P,O00519,informative,1.045,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q14134,informative,1.065,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q16236,informative,1.066,0.017,NA,NA,0.017,0.035,SomaScan
X/P,O75031,certified,1.422,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q6P1K8,informative,1.095,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q7L1Q6,informative,1.126,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q96SF2,informative,0.976,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q5T4F4,certified,1.626,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q9BRP8,certified,1.067,0.017,NA,NA,0.017,0.035,Olink
X/P,P51659,informative,0.997,0.017,NA,NA,0.017,0.035,SomaScan
F/P,O14771,certified,1.775,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q16627,informative,1.021,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q9UEW3,informative,0.946,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q96H12,informative,1.015,0.017,NA,NA,0.017,0.035,SomaScan
M/P,P43351,informative,0.991,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q96J02,certified,1.436,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q86VD7,informative,1.094,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q9H2R5,informative,1.032,0.017,NA,NA,0.017,0.035,Olink
F/P,P49913,informative,1.180,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q96DR5,certified,1.187,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q8N5L8,informative,1.001,0.017,NA,NA,0.017,0.035,SomaScan
F/P,O60739,informative,1.048,0.017,NA,NA,0.017,0.035,SomaScan
F/P,O43248,informative,1.005,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q99665,informative,0.991,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q16827,informative,0.979,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q6JVE6,informative,1.040,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q6V0L0,informative,0.998,0.017,NA,NA,0.017,0.035,SomaScan
F/P,P39748,certified,1.348,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q9HAT8,certified,1.670,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q9H4K7,informative,1.009,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q96DX8,informative,1.031,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q96S44,informative,1.055,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q13795,informative,0.959,0.017,NA,NA,0.017,0.035,SomaScan
X/P,P59646,informative,0.965,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q5SXH7,informative,1.015,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q8TAF3,informative,1.056,0.017,NA,NA,0.017,0.035,SomaScan
M/P,A6NGB9,informative,0.935,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,P06703,informative,1.038,0.017,NA,NA,0.017,0.035,SomaScan
F/P,O15294,informative,0.859,0.017,NA,NA,0.017,0.035,SomaScan
X/P,P01148,informative,1.000,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q6Q788,informative,1.083,0.017,NA,NA,0.017,0.035,SomaScan
M/P,P22415,certified,1.276,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q8WUR7,informative,1.194,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,Q13162,informative,0.978,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q9NX45,informative,1.036,0.017,NA,NA,0.017,0.035,SomaScan
M/P,Q9NTX5,informative,1.173,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q4KMQ2,informative,1.044,0.017,NA,NA,0.017,0.035,SomaScan
F/P,P80723,informative,0.982,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q9H6S1,informative,0.975,0.017,NA,NA,0.017,0.035,SomaScan
Y/P,P27169,informative,1.005,0.017,NA,NA,0.017,0.035,SomaScan
F/P,P46459,informative,1.024,0.017,NA,NA,0.017,0.035,SomaScan
F/P,Q9UK41,informative,0.974,0.017,NA,NA,0.017,0.035,SomaScan
M/P,P16284,informative,1.021,0.017,NA,NA,0.017,0.035,SomaScan
X/P,Q9BUE0,certified,1.330,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9NRL3,informative,1.023,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q5W0U4,informative,1.056,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9UBL9,informative,0.975,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9UPV7,certified,1.160,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P51809,certified,1.446,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q96IW7,informative,0.869,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P49189,informative,1.004,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q8TB52,informative,0.988,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q86YL5,informative,1.047,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q9UMR2,certified,1.423,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q8N6G2,informative,1.036,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q96S82,informative,0.963,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9UH77,informative,0.958,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q8WZ73,informative,0.965,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9NP97,informative,1.131,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,O60931,informative,1.045,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q4G0S4,informative,1.025,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P20393,informative,0.983,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9BXJ4,informative,0.980,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q9Y2J0,informative,0.943,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q9NU39,informative,1.020,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q15465,informative,0.985,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9UJ04,informative,1.002,0.018,NA,NA,0.018,0.035,SomaScan
F/P,P11532,informative,1.006,0.018,NA,NA,0.018,0.035,SomaScan
M/P,O43766,informative,1.028,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q96QV6,informative,1.077,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q96E17,informative,1.136,0.018,NA,NA,0.018,0.035,SomaScan
M/P,O43423,certified,0.661,0.018,NA,NA,0.018,0.035,SomaScan
F/P,P23435,informative,0.963,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P63208,informative,0.994,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P08519,certified,0.880,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P49662,certified,1.799,0.018,NA,NA,0.018,0.035,Olink
F/P,Q9Y5E4,informative,1.002,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q9UQF2,certified,0.870,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q86WT1,informative,1.025,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P19957,informative,1.074,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q8N423,informative,1.015,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9H1J7,informative,0.995,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9BY41,informative,0.996,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9NQT5,informative,1.049,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q9GZY0,informative,0.928,0.018,NA,NA,0.018,0.035,SomaScan
X/P,O60907,informative,1.098,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q5T5D7,informative,1.005,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q8N9Z0,informative,1.089,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q5W0B1,informative,0.919,0.018,NA,NA,0.018,0.035,Olink
F/P,Q9NUV9,informative,0.975,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q8WUA4,informative,1.080,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q96EB6,informative,1.047,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9BXR6,informative,1.131,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q2M2D7,informative,0.958,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,O43286,informative,0.994,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P13797,informative,0.849,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q4KMQ1,informative,1.024,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q96P31,informative,1.024,0.018,NA,NA,0.018,0.035,SomaScan
X/P,O14618,informative,0.952,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q5VZF2,informative,0.883,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P02511,informative,1.048,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9NRC9,certified,1.457,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P40313,informative,1.069,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9H8L6,certified,1.343,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P54368,informative,1.000,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P31273,informative,1.054,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,O94911,informative,0.991,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P26373,informative,1.043,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9BS40,informative,0.889,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q8NBX0,certified,1.132,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q14204,informative,1.030,0.018,NA,NA,0.018,0.035,SomaScan
M/P,A6NGB7,informative,1.058,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P00746,informative,1.004,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P25398,informative,1.078,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9H9P2,informative,1.030,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q15256,certified,1.607,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9BQI7,informative,1.101,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P16109,informative,1.077,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P56851,informative,0.977,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P54709,informative,1.131,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q7RTY0,informative,0.947,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q5PRF9,informative,1.066,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9NP08,informative,0.968,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q6B8I1,informative,0.908,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q14863,informative,1.028,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q6ZRX8,informative,0.915,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9UGM3,informative,0.964,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q14050,informative,1.020,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q13427,informative,1.003,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9HCS2,certified,1.390,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q6ZN16,informative,1.091,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P07900,informative,1.064,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9UBB4,informative,1.067,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P17936,informative,1.030,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q15390,informative,0.958,0.018,NA,NA,0.018,0.035,SomaScan
F/P,O75159,informative,1.045,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q5VTT5,informative,1.122,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P04075,informative,0.954,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9UPT5,informative,1.043,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P36955,informative,1.162,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q969T3,informative,1.112,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9HA82,informative,0.988,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P05388,informative,1.083,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q5VZI3,informative,1.022,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9UGP5,informative,0.976,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q13283,informative,1.116,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q96T54,informative,1.058,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9UPY8,informative,1.149,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9NR31,informative,1.051,0.018,NA,NA,0.018,0.035,SomaScan
F/P,O75821,informative,0.992,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9UKR5,informative,1.031,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q8N4J0,informative,0.989,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9H6Y7,certified,0.859,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9UBM4,informative,1.066,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q16891,informative,1.025,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q96M91,informative,1.051,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q8WU90,informative,1.016,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q8N9S9,informative,1.019,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,O75044,informative,0.987,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,B9A064,informative,1.006,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9ULH4,informative,0.988,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P57771,informative,1.088,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9GZN2,certified,1.271,0.018,NA,NA,0.018,0.035,SomaScan
X/P,P0C7M7,informative,1.052,0.018,NA,NA,0.018,0.035,SomaScan
M/P,O75899,certified,1.575,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q5HYW3,informative,0.969,0.018,NA,NA,0.018,0.035,SomaScan
X/P,O14841,informative,1.079,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q04760,informative,0.959,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q9BR76,informative,1.038,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q14681,informative,0.963,0.018,NA,NA,0.018,0.035,SomaScan
F/P,P26842,informative,1.033,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P52823,informative,0.925,0.018,NA,NA,0.018,0.035,Olink
F/P,Q9BTM9,informative,0.990,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q9BS40,informative,1.045,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q96SI1,informative,1.045,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q9P016,informative,1.294,0.018,NA,NA,0.018,0.035,Olink
M/P,P49448,informative,1.094,0.018,NA,NA,0.018,0.035,SomaScan
M/P,P56704,informative,0.937,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q13283,informative,0.905,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q99714,informative,0.976,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q9Y5G3,informative,1.011,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q8NDY3,informative,1.067,0.018,NA,NA,0.018,0.035,SomaScan
M/P,Q99259,certified,0.699,0.018,NA,NA,0.018,0.035,SomaScan
F/P,Q01813,informative,0.991,0.018,NA,NA,0.018,0.035,SomaScan
F/P,O14933,informative,1.001,0.018,NA,NA,0.018,0.035,SomaScan
X/P,Q8IZT9,informative,0.963,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,P00746,informative,1.033,0.018,NA,NA,0.018,0.035,SomaScan
F/P,P31512,informative,1.005,0.018,NA,NA,0.018,0.035,SomaScan
Y/P,Q5T440,informative,1.039,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q5JS13,informative,0.552,0.018,NA,NA,0.018,0.036,Olink
X/P,P42566,informative,1.015,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q9BYZ2,informative,1.130,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q8IWE4,informative,0.936,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q9UHD8,informative,1.012,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q13118,informative,1.133,0.018,NA,NA,0.018,0.036,SomaScan
F/P,O43908,informative,0.885,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P07741,informative,1.388,0.018,NA,NA,0.018,0.036,Olink
F/P,Q2TBF2,informative,0.996,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9NRD5,informative,1.045,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q16621,informative,1.023,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9NPF0,informative,1.019,0.018,NA,NA,0.018,0.036,SomaScan
M/P,O00471,informative,0.977,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q16270,informative,0.967,0.018,NA,NA,0.018,0.036,Olink
Y/P,P98155,informative,1.024,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P43351,informative,1.088,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P35237,informative,0.962,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q9H1E5,informative,1.087,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q6ZMM2,certified,1.192,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9HAY2,informative,1.043,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9HD20,informative,0.984,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q9NP79,informative,0.949,0.018,NA,NA,0.018,0.036,Olink
Y/P,P00736,informative,1.024,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9P0L1,informative,0.986,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q02809,informative,1.012,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P05423,certified,1.198,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q96SB3,informative,1.024,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P51888,informative,0.941,0.018,NA,NA,0.018,0.036,Olink
X/P,Q04771,informative,1.077,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q9Y2V7,informative,0.992,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q8TDX7,informative,0.904,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,O14745,informative,1.043,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q15124,informative,0.987,0.018,NA,NA,0.018,0.036,SomaScan
M/P,O75716,informative,1.065,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,O43237,informative,0.978,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P0DMV1,informative,0.996,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q96HL8,informative,1.030,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,O15013,informative,1.017,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P42081,informative,1.041,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P18065,informative,1.008,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q15628,informative,1.051,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P20719,informative,0.980,0.018,NA,NA,0.018,0.036,SomaScan
M/P,A4QMS7,informative,1.070,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P08254,informative,1.013,0.018,NA,NA,0.018,0.036,SomaScan
F/P,O14756,certified,1.322,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q6UXH9,informative,1.015,0.018,NA,NA,0.018,0.036,Olink
F/P,Q9Y385,certified,1.347,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P37837,informative,1.007,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q969G3,informative,1.030,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P08236,informative,1.039,0.018,NA,NA,0.018,0.036,Olink
X/P,Q9Y5S8,informative,1.032,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P05451,informative,0.980,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q14802,informative,1.009,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P11532,informative,1.023,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q8WX39,informative,1.073,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q6NUJ5,informative,0.998,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q495T6,informative,1.004,0.018,NA,NA,0.018,0.036,SomaScan
F/P,O00253,informative,1.137,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q9HD20,informative,0.978,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q16822,informative,0.955,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q7L8J4,informative,1.099,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q9H0A9,informative,1.063,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P51648,informative,1.083,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,O60701,informative,1.154,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P62253,informative,0.998,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9NQ60,informative,1.036,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9UBP8,informative,1.022,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q6P093,informative,1.013,0.018,NA,NA,0.018,0.036,SomaScan
M/P,O14495,informative,1.058,0.018,NA,NA,0.018,0.036,SomaScan
M/P,O95256,informative,1.385,0.018,NA,NA,0.018,0.036,Olink
Y/P,P78324,informative,0.985,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,O43818,informative,0.984,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P31274,informative,1.007,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q9H2X3,informative,1.032,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q96DG6,informative,0.991,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q5CZC0,informative,1.036,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q92503,informative,0.937,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q99426,informative,1.050,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P08294,informative,1.075,0.018,NA,NA,0.018,0.036,Olink
X/P,Q8N326,informative,1.024,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P22304,informative,1.151,0.018,NA,NA,0.018,0.036,Olink
M/P,Q96PQ0,informative,1.031,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9BV23,informative,1.069,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q6I9Y2,informative,1.057,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P83876,informative,1.008,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q8N446,informative,0.973,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P02533,informative,0.971,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q8N4N3,informative,1.024,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q9BTN0,certified,2.047,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q8NAA5,informative,1.205,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q9HA64,informative,0.979,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q9NX02,informative,0.980,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,O95407,informative,0.995,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P82663,informative,1.033,0.018,NA,NA,0.018,0.036,SomaScan
M/P,P51814,informative,1.002,0.018,NA,NA,0.018,0.036,SomaScan
M/P,O43314,informative,1.004,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P43364,informative,1.026,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P03973,informative,0.994,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q9H4A4,informative,1.004,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P13995,informative,0.981,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q15013,informative,0.965,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q92851,certified,0.346,0.018,NA,NA,0.018,0.036,Olink
F/P,O15350,informative,1.006,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P0DPB6,informative,1.044,0.018,NA,NA,0.018,0.036,SomaScan
F/P,O60869,informative,0.984,0.018,NA,NA,0.018,0.036,SomaScan
X/P,O14836,informative,0.925,0.018,NA,NA,0.018,0.036,Olink
X/P,Q9NQ75,informative,0.968,0.018,NA,NA,0.018,0.036,SomaScan
X/P,P37837,informative,0.887,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,Q9H4G0,informative,1.098,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q9UDY6,informative,0.946,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q92782,informative,1.017,0.018,NA,NA,0.018,0.036,SomaScan
M/P,O95238,informative,0.995,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q86YS3,informative,1.014,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q9Y243,informative,1.053,0.018,NA,NA,0.018,0.036,SomaScan
Y/P,P46783,informative,1.020,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q6IA86,informative,0.870,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P32456,informative,0.930,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q9P289,informative,1.016,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q96SQ9,certified,1.151,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q86YC2,certified,1.153,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q9ULW2,informative,1.011,0.018,NA,NA,0.018,0.036,SomaScan
M/P,Q96EK4,informative,1.108,0.018,NA,NA,0.018,0.036,SomaScan
X/P,Q6IAN0,informative,1.019,0.018,NA,NA,0.018,0.036,SomaScan
F/P,P40425,informative,0.983,0.018,NA,NA,0.018,0.036,SomaScan
F/P,Q8N9B5,informative,1.039,0.018,NA,NA,0.018,0.036,SomaScan
